type,tau,power
exponential_kernel,9.0,20.0
exponential_kernel,9.5,0.5
exponential_kernel,9.5,1.0
exponential_kernel,9.5,1.5
exponential_kernel,9.5,2.0
exponential_kernel,9.5,2.5
exponential_kernel,9.5,3.0
exponential_kernel,9.5,3.5
exponential_kernel,9.5,4.0
exponential_kernel,9.5,4.5
exponential_kernel,9.5,5.0
exponential_kernel,9.5,5.5
exponential_kernel,9.5,6.0
exponential_kernel,9.5,6.5
exponential_kernel,9.5,7.0
exponential_kernel,9.5,7.5
exponential_kernel,9.5,8.0
exponential_kernel,9.5,8.5
exponential_kernel,9.5,9.0
exponential_kernel,9.5,9.5
exponential_kernel,9.5,10.0
exponential_kernel,9.5,10.5
exponential_kernel,9.5,11.0
exponential_kernel,9.5,11.5
exponential_kernel,9.5,12.0
exponential_kernel,9.5,12.5
exponential_kernel,9.5,13.0
exponential_kernel,9.5,13.5
exponential_kernel,9.5,14.0
exponential_kernel,9.5,14.5
exponential_kernel,9.5,15.0
exponential_kernel,9.5,15.5
exponential_kernel,9.5,16.0
exponential_kernel,9.5,16.5
exponential_kernel,9.5,17.0
exponential_kernel,9.5,17.5
exponential_kernel,9.5,18.0
exponential_kernel,9.5,18.5
exponential_kernel,9.5,19.0
exponential_kernel,9.5,19.5
exponential_kernel,9.5,20.0
exponential_kernel,10.0,0.5
exponential_kernel,10.0,1.0
exponential_kernel,10.0,1.5
exponential_kernel,10.0,2.0
exponential_kernel,10.0,2.5
exponential_kernel,10.0,3.0
exponential_kernel,10.0,3.5
exponential_kernel,10.0,4.0
exponential_kernel,10.0,4.5
exponential_kernel,10.0,5.0
exponential_kernel,10.0,5.5
exponential_kernel,10.0,6.0
exponential_kernel,10.0,6.5
exponential_kernel,10.0,7.0
exponential_kernel,10.0,7.5
exponential_kernel,10.0,8.0
exponential_kernel,10.0,8.5
exponential_kernel,10.0,9.0
exponential_kernel,10.0,9.5
exponential_kernel,10.0,10.0
exponential_kernel,10.0,10.5
exponential_kernel,10.0,11.0
exponential_kernel,10.0,11.5
exponential_kernel,10.0,12.0
exponential_kernel,10.0,12.5
exponential_kernel,10.0,13.0
exponential_kernel,10.0,13.5
exponential_kernel,10.0,14.0
exponential_kernel,10.0,14.5
exponential_kernel,10.0,15.0
exponential_kernel,10.0,15.5
exponential_kernel,10.0,16.0
exponential_kernel,10.0,16.5
exponential_kernel,10.0,17.0
exponential_kernel,10.0,17.5
exponential_kernel,10.0,18.0
exponential_kernel,10.0,18.5
exponential_kernel,10.0,19.0
exponential_kernel,10.0,19.5
exponential_kernel,10.0,20.0
lorentz_kernel,0.5,0.5
lorentz_kernel,0.5,1.0
lorentz_kernel,0.5,1.5
lorentz_kernel,0.5,2.0
lorentz_kernel,0.5,2.5
lorentz_kernel,0.5,3.0
lorentz_kernel,0.5,3.5
lorentz_kernel,0.5,4.0
lorentz_kernel,0.5,4.5
lorentz_kernel,0.5,5.0
lorentz_kernel,0.5,5.5
lorentz_kernel,0.5,6.0
lorentz_kernel,0.5,6.5
lorentz_kernel,0.5,7.0
lorentz_kernel,0.5,7.5
lorentz_kernel,0.5,8.0
lorentz_kernel,0.5,8.5
lorentz_kernel,0.5,9.0
lorentz_kernel,0.5,9.5
lorentz_kernel,0.5,10.0
lorentz_kernel,0.5,10.5
lorentz_kernel,0.5,11.0
lorentz_kernel,0.5,11.5
lorentz_kernel,0.5,12.0
lorentz_kernel,0.5,12.5
lorentz_kernel,0.5,13.0
lorentz_kernel,0.5,13.5
lorentz_kernel,0.5,14.0
lorentz_kernel,0.5,14.5
lorentz_kernel,0.5,15.0
lorentz_kernel,0.5,15.5
lorentz_kernel,0.5,16.0
lorentz_kernel,0.5,16.5
lorentz_kernel,0.5,17.0
lorentz_kernel,0.5,17.5
lorentz_kernel,0.5,18.0
lorentz_kernel,0.5,18.5
lorentz_kernel,0.5,19.0
lorentz_kernel,0.5,19.5
lorentz_kernel,0.5,20.0
lorentz_kernel,1.0,0.5
lorentz_kernel,1.0,1.0
lorentz_kernel,1.0,1.5
lorentz_kernel,1.0,2.0
lorentz_kernel,1.0,2.5
lorentz_kernel,1.0,3.0
lorentz_kernel,1.0,3.5
lorentz_kernel,1.0,4.0
lorentz_kernel,1.0,4.5
lorentz_kernel,1.0,5.0
lorentz_kernel,1.0,5.5
lorentz_kernel,1.0,6.0
lorentz_kernel,1.0,6.5
lorentz_kernel,1.0,7.0
lorentz_kernel,1.0,7.5
lorentz_kernel,1.0,8.0
lorentz_kernel,1.0,8.5
lorentz_kernel,1.0,9.0
lorentz_kernel,1.0,9.5
lorentz_kernel,1.0,10.0
lorentz_kernel,1.0,10.5
lorentz_kernel,1.0,11.0
lorentz_kernel,1.0,11.5
lorentz_kernel,1.0,12.0
lorentz_kernel,1.0,12.5
lorentz_kernel,1.0,13.0
lorentz_kernel,1.0,13.5
lorentz_kernel,1.0,14.0
